query,lat,lon
"Budapest 13th district, Kassák Lajos street, Hungary",,
"Budapest XIII. kerület, Kassák Lajos utca, Hungary",47.5294912,19.0687942
"Budapest XIV. kerület, Öv utca, Hungary",,
"Budapest XIV. kerület, Öv utca 110, Hungary",,
"Szugló u. 179, Hungary",47.5289585,19.1300216
"Budapest XIII. kerület, Pozsonyi út 22., Hungary",,
"Pozsonyi út 22., Hungary",47.5165076,19.0501484
"RÁKÓCZI ÚT 12, Hungary",47.4953632,19.0632151
"aurora utca 5, Hungary",47.4946202,19.0756454
"Budapest, Deák Ferenc tér, Hungary",,
"Deák Ferenc tér, 1, Hungary",46.9069988,19.689261
