query,lat,lon
"Budapest II. kerület, Pasarét, Hungary",47.5159702,18.9996833
"Budapest VII. kerület, Dob utca, Hungary",47.5007369,19.0638024
"Budapest III. district, Kiscelli köz, Hungary",47.5379841,19.0262338
"Budapest II. kerület, Törökvész út, Hungary",47.5140457,19.0195309
"Budapest XII. kerület, Kútvölgy, Hungary",47.5102665,18.9837578
"Budapest VII. kerület, Király utca, Hungary",47.4995499,19.0592485
"Budapest XIII. kerület, Angyalföldi út, Hungary",47.5215743,19.0636198
"Budapest XIV. kerület, Pétervárad utca, Hungary",47.5188168,19.1098812
"Budapest IX. district, Central-Ferencváros - Malmok, Hungary",47.4756872,19.0785096
"Budapest XIII. kerület, Balzac utca, Hungary",47.5149189,19.0579902
"Budapest XI. kerület, Fehérvári út 160., Hungary",47.4707978,19.0442538
"Budapest I. kerület, Attila út, Hungary",47.496186,19.0354429
"Budapest II. kerület, Bimbó út, Hungary",47.5140573,19.0254015
"Budapest VII. kerület, Rákóczi út, Hungary",47.4962467,19.0662601
"Budapest XII. kerület, Széll Kálmán tér, Hungary",47.5076328,19.0216697
"Budapest IX. kerület, Tompa utca, Hungary",47.481983,19.0722352
"Budapest VI. kerület, Székely Mihály utca, Hungary",47.5004725,19.0595731
"Budapest VI. kerület, Bajcsy-Zsilinszky út, Hungary",47.5010922,19.0551395
"Budapest VI. kerület, Anker köz, Hungary",47.4981089,19.0555471
"Budapest XIII. kerület, Pozsonyi út, Hungary",47.5153918,19.049402
"Budapest VI. kerület, Andrássy út, Hungary",47.5084561,19.0686938
"Budapest I. district, Víziváros, Hungary",47.5078103,19.0369399
"Budapest V. kerület, Steindl Imre utca, Hungary",47.5034446,19.0477277
"Budapest IX. kerület, Lechner Ödön fasor, Hungary",47.4753963,19.0690028
"Budapest, District XI, Szentimreváros, Hungary",47.4766422,19.0368522
"Budapest XIII. kerület, Kassák Lajos utca, Hungary",47.5294912,19.0687942
"Budapest V. kerület, Régi posta utca, Hungary",47.4940223,19.0515707
"Budapest XII. kerület, Böszörményi út, Hungary",47.4927083,19.0162906
"Budapest V. district, Belgrád rakpart 16., Hungary",47.4889382,19.0542084
"Budapest XII. district, Krisztinaváros - Városmajor, Hungary",47.5027536,19.0217532
"Budapest, District VI, Teréz Boulevard, Hungary",47.5084708,19.0592643
"Budapest IX. district, Central Ferencváros, Hungary",47.4563368,19.0830046
"Budapest VI. kerület, Nagymező utca, Hungary",47.5041923,19.0605469
"Budapest VII. kerület, Rumbach Sebestyén utca, Hungary",47.497066,19.0595375
"Budapest, District 13, Máglya köz, Hungary",47.5440025,19.077464
"Budapest III. district, Róza köz 2., Hungary",47.582812,19.0432536
"Budapest VI. kerület, Podmaniczky utca 65., Hungary",,
"Podmaniczky utca 65., Budapest, Hungary",47.5127982,19.0648011
"Széchenyihegy, Budapest, Hungary",47.4912499,18.9842261
"Dorozsma köz, Budapest, Hungary",47.5211787,19.0944575
