name,lat,lon
Mexikói út,47.5195853,19.0908328
Széchenyi fürdő,47.5174782,19.0812753
Hősök tere,47.5142154,19.0767759
Bajza utca,47.5113872,19.0725445
Kodály körönd,47.5092606,19.0693504
Vörösmarty utca,47.5072389,19.0663322
Oktogon,47.5049544,19.0629287
Kőbánya-Kispest,47.4637172,19.1480153
Határ út,47.4658802,19.1259189
Pöttyös utca,47.4681934,19.1180315
Ecseri út,47.4708589,19.1107643
Népliget,47.4752959,19.0999512
Nagyvárad tér,47.4786668,19.090409
Semmelweis Klinikák,47.4832585,19.0779227
Corvin-negyed,47.4852808,19.0717478
Ferenciek tere,47.4924499,19.0562944
Vörösmarty tér,47.4966817,19.0503341
Bajcsy-Zsilinszky út,47.4999169,19.0553753
Opera,47.5022938,19.0589493
Arany János utca,47.5040834,19.0546254
Nyugati pályaudvar,47.5112369,19.0564842
Lehel tér,47.5182391,19.0605508
Kelenföld vasútállomás,47.4643298,19.0201331
Bikás park,47.4650396,19.0329092
Újbuda-központ,47.4732151,19.046184
Móricz Zsigmond körtér,47.4769307,19.0474068
Szent Gellért tér – Műegyetem,47.4828961,19.054507
Kálvin tér,47.4898678,19.0613318
Rákóczi tér,47.4927304,19.0719578
II. János Pál pápa tér,47.4958303,19.0775339
Örs vezér tere,47.502803,19.1350725
Pillangó utca,47.5011832,19.1198882
Puskás Ferenc Stadion,47.5002664,19.1059888
Keleti pályaudvar,47.499596,19.0822564
Astoria,47.4947838,19.0616594
Deák Ferenc tér,47.4983508,19.0535905
Kossuth Lajos tér,47.5057199,19.0449808
Batthyány tér,47.5068724,19.037782
Széll Kálmán tér,47.5077259,19.0263013
Déli pályaudvar,47.5008855,19.0245985
Gyöngyösi utca,47.5490555,19.0733534
Göncz Árpád városközpont,47.532679,19.0667774
Dózsa György út,47.5249055,19.0634163
Forgách utca,47.5389554,19.0694521
Újpest-városkapu,47.5593306,19.0804103
Újpest-központ,47.5603263,19.0906475
Fővám tér,47.4861979,19.0576823
Blaha Lujza tér,47.4968269,19.0697531
Kálvin tér,47.4890817,19.061432
Keleti pályaudvar,47.5002118,19.0813128
Deák Ferenc tér,47.4980848,19.0543468
Deák Ferenc tér,47.4977188,19.0537581
