price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
1365000,200,5,2,30,12,0,novel,1,4,1,,1,1,47.5159702,18.9996833,4.655921232,2.199315859,3.060621112,0
225000,33,1,6,0,12,0,renovated,1,8,0,35.5,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
741000,125,4,12,0,14,,novel,1,4,1,,1,1,47.4912499,18.9842261,5.413063497,3.216768781,5.018952719,0
289900,35,2,13,11,12,0,new,1,7,0,1,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
240000,41,2,3,0,12,0,renovated,1,3,1,,1,0,47.5611995,19.054608,7.038977302,1.947220491,4.710579519,0
250000,42,1.5,9,0,12,0,novel,1,5,0,20.5,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
269000,42,1.5,7,0,12,0,renovated,1,2,1,,1,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
270000,44,2,14,0,7,0,new,1,4,0,1,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
230000,45,1.5,14,0,12,0,renovated,1,3,1,,1,0,47.5211787,19.0944575,3.901027353,0.324775751,3.916728309,0
240000,46,2,2,4,12,0,in good condition,1,2,0,35.5,1,0,47.5281206,18.9809374,6.537231097,4.092465745,4.525870536,0
240000,47,2,13,3,12,0,novel,1,5,0,20.5,0,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
289000,55,2,14,0,12,0,novel,1,3,0,15,1,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
450000,56,2,1,4,12,0,renovated,1,3,1,,1,0,47.5033101,19.0277128,2.179586851,0.356953169,1.49647343,0
320000,63,3,8,0,12,0,new,1,,0,1,0,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
360000,64,2.5,3,5,12,0,novel,1,4,0,61,1,0,47.5379841,19.0262338,4.972878326,3.100312172,2.251053589,0
300000,35,1.5,6,0,12,,new,1,,0,0,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
250000,35,1,9,0,12,,new,1,,1,,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
500000,100,4,2,4,12,0,novel,2,3,0,20.5,1,1,47.496244,19.0623249,0.537728369,0.169890547,0.885958431,0
190000,27,1.5,7,0,12,0,renovated,2,3,0,5,0,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
800000,140,5,2,22,12,0,renovated,2,2,0,35.5,1,0,47.5140457,19.0195309,3.25013573,0.867411789,1.673708147,0
