feature,importance_mean,importance_std
floor_area_m2,0.23086283862920884,0.018372961653441208
rooms,0.05305696258478813,0.006590346086500154
lon,0.03715970317807468,0.00714393453243596
property_condition_clean,0.03141600800374476,0.004489023235509851
balcony_m2,0.027160591358372007,0.0040842045775406274
elevator_bin,0.02525479987806796,0.0038567966477996997
building_age,0.020182475931295296,0.005345784330997458
distance_to_center_km_real,0.018886754091287306,0.0038369513235349153
building_level_num,0.017984060482285222,0.0019926064913222638
floor_num,0.01684421228025386,0.0038989246675219507
aircon_bin,0.014893826875383619,0.004057907664373704
lat,0.013628419091487995,0.0019939120612908075
dist_to_metro_km,0.009208095641207616,0.002074787629123124
dist_to_danube_km,0.008786154544499382,0.002563874237201696
district,0.008272454122187044,0.002436210651883876
min_rent_months,0.001444794622986818,0.00047488068659961024
internal_height_ord,0.0006995265097801356,0.0012027251376977397
is_inner_ring,0.0006014280390447347,0.00046768929017300815
year_missing_flag,0.0003923846921186369,0.0006874549337162775
